LotArea,LotFrontage,BldgType,OverallQual,OverallCond,YearBuilt,HeatingQC,Label
15602,100.0,1Fam,7.0,8,1959,TA,expensive
2308,24.0,TwnhsE,6.0,5,1974,TA,normal
7596,60.0,Duplex,5.0,5,1952,Gd,cheap
9554,80.0,1Fam,8.0,5,1993,Ex,expensive
7862,75.0,1Fam,6.0,5,2009,Ex,normal
9600,60.0,1Fam,,9,1928,Ex,normal
9600,80.0,1Fam,5.0,6,1959,Ex,cheap
14559,75.0,1Fam,5.0,7,1951,Ex,normal
6792,40.0,TwnhsE,7.0,5,2005,Ex,normal
9100,70.0,1Fam,5.0,5,1958,TA,cheap
9187,71.0,1Fam,6.0,5,1983,TA,cheap
10594,55.0,1Fam,5.0,5,1926,Fa,cheap
12220,94.0,1Fam,10.0,5,2009,Ex,expensive
10448,,1Fam,,6,1972,TA,normal
10208,79.0,1Fam,7.0,5,1996,Ex,expensive
9531,,1Fam,6.0,5,1998,Ex,normal
10918,53.0,1Fam,7.0,9,1926,Ex,expensive
10800,60.0,2fmCon,4.0,7,1900,TA,cheap
11988,90.0,1Fam,6.0,6,1957,Ex,normal
5000,50.0,,6.0,7,1947,Ex,normal
40094,130.0,1Fam,10.0,5,2007,Ex,normal
11787,95.0,,7.0,5,1996,Ex,expensive
7500,62.0,1Fam,7.0,5,2005,Ex,normal
13300,70.0,1Fam,5.0,7,1956,TA,cheap
14948,67.0,1Fam,9.0,5,2008,Ex,expensive
9098,58.0,1Fam,4.0,7,1920,Ex,cheap
32668,,1Fam,6.0,3,1957,TA,normal
10200,85.0,1Fam,6.0,5,2147,Ex,normal
6155,60.0,1Fam,6.0,8,1920,Ex,cheap
7200,60.0,1Fam,5.0,7,1955,Ex,cheap
5000,50.0,1Fam,1.0,3,1946,Fa,cheap
9056,74.0,1Fam,8.0,5,2004,Ex,normal
7000,70.0,2fmCon,5.0,7,1910,TA,cheap
8924,57.0,1Fam,7.0,5,1998,Ex,normal
12735,,1Fam,4.0,5,1972,TA,cheap
11553,,1Fam,5.0,5,1968,TA,normal
11423,,1Fam,8.0,5,2001,Ex,expensive
14601,85.0,1Fam,9.0,5,2006,Ex,expensive
11000,,1Fam,8.0,5,2000,Ex,expensive
10140,78.0,1Fam,7.0,5,1998,Ex,expensive
4058,34.0,TwnhsE,7.0,5,1998,Ex,cheap
17104,58.0,1Fam,7.0,5,2006,Ex,normal
13837,,1Fam,7.0,5,1988,Gd,expensive
8737,70.0,1Fam,6.0,7,1923,Ex,normal
7244,54.0,1Fam,5.0,7,1970,Ex,cheap
8235,49.0,1Fam,5.0,7,1955,TA,cheap
9375,75.0,1Fam,7.0,5,2003,Ex,expensive
4043,53.0,TwnhsE,6.0,6,1977,TA,normal
6000,50.0,1Fam,5.0,6,1957,Gd,cheap
11146,87.0,1Fam,8.0,5,2006,Ex,expensive
8777,67.0,1Fam,4.0,5,1949,Ex,cheap
10625,85.0,1Fam,7.0,5,2003,Ex,expensive
6380,58.0,1Fam,5.0,6,1922,TA,cheap
14850,69.0,1Fam,5.0,5,1957,TA,normal
11040,60.0,1Fam,4.0,6,1920,Gd,cheap
21872,57.0,1Fam,,5,1996,Ex,normal
3196,,,,5,2003,Ex,expensive
11341,,1Fam,5.0,6,1957,TA,cheap
10010,77.0,1Fam,5.0,5,1974,Gd,normal
13907,63.0,1Fam,5.0,6,1940,Ex,cheap
21780,66.0,1Fam,6.0,7,1918,Ex,normal
13346,,1Fam,7.0,5,1992,Ex,expensive
6858,66.0,1Fam,6.0,4,1915,TA,cheap
11198,77.0,1Fam,,5,2005,Ex,expensive
10171,70.0,1Fam,7.0,5,2004,Ex,expensive
12327,79.0,1Fam,8.0,8,1983,Ex,expensive
7032,,Duplex,5.0,5,1979,TA,cheap
13101,74.0,Duplex,5.0,5,1965,TA,normal
7332,60.0,1Fam,6.0,6,1959,Ex,cheap
13159,83.0,1Fam,7.0,5,2009,Gd,expensive
9967,76.0,1Fam,7.0,5,2000,Ex,normal
10500,70.0,1Fam,5.0,7,1971,TA,cheap
8480,80.0,1Fam,,5,1947,TA,cheap
6292,52.0,1Fam,7.0,7,1928,Gd,normal
11777,96.0,1Fam,5.0,6,1966,Ex,normal
3604,34.0,TwnhsE,7.0,5,2007,Ex,normal
12150,81.0,1Fam,5.0,5,1954,Ex,cheap
14585,,,6.0,6,1960,Ex,normal
12704,98.0,1Fam,8.0,5,2008,Ex,expensive
11841,81.0,Duplex,6.0,5,1990,TA,cheap
13500,75.0,1Fam,10.0,9,1893,Gd,expensive
6120,51.0,1Fam,,7,1935,Ex,cheap
11443,88.0,1Fam,8.0,5,2005,Ex,expensive
10267,55.0,1Fam,6.0,7,1918,Ex,cheap
8740,74.0,1Fam,5.0,6,1982,TA,cheap
25095,65.0,1Fam,5.0,8,1968,Ex,normal
9100,50.0,1Fam,,6,1930,TA,cheap
8320,64.0,1Fam,7.0,5,2004,Ex,normal
13478,97.0,1Fam,,5,2008,Ex,expensive
6600,60.0,1Fam,5.0,8,1982,Ex,cheap
4435,,TwnhsE,6.0,5,2003,Ex,normal
7990,88.0,1Fam,5.0,6,1975,TA,cheap
11302,69.0,1Fam,8.0,5,2005,Ex,expensive
3600,60.0,1Fam,6.0,7,1910,Ex,cheap
3922,53.0,,7.0,5,2006,Ex,normal
12984,80.0,1Fam,5.0,6,1977,Ex,expensive
1950,24.0,Twnhs,6.0,6,1980,TA,normal
10927,74.0,1Fam,8.0,5,2005,Ex,expensive
9000,50.0,1Fam,6.0,6,1937,TA,normal
10041,80.0,1Fam,8.0,5,1992,Ex,expensive
3182,30.0,TwnhsE,,5,2004,Ex,normal
12803,88.0,1Fam,7.0,5,2002,Ex,expensive
13600,85.0,1Fam,7.0,6,2432,TA,normal
12464,82.0,1Fam,5.0,5,1996,Gd,normal
7800,78.0,1Fam,,8,1948,Ex,expensive
12168,78.0,1Fam,,6,1934,TA,expensive
7943,61.0,1Fam,4.0,5,1961,Gd,cheap
11050,,1Fam,9.0,5,2000,Ex,expensive
10395,,1Fam,6.0,6,1978,TA,normal
11885,,1Fam,8.0,5,2001,Ex,expensive
8402,70.0,1Fam,,5,2007,Ex,normal
1491,21.0,TwnhsE,4.0,6,1972,Ex,cheap
8800,80.0,1Fam,6.0,7,1963,Ex,cheap
7861,,1Fam,6.0,5,2002,Ex,normal
7227,59.0,1Fam,6.0,6,1954,Gd,cheap
11694,90.0,1Fam,9.0,5,2007,Ex,expensive
12244,85.0,1Fam,8.0,5,2003,Ex,expensive
8248,45.0,1Fam,3.0,3,1914,TA,cheap
10800,90.0,1Fam,6.0,7,1974,TA,expensive
7064,71.0,1Fam,5.0,6,1977,TA,cheap
2117,,TwnhsE,6.0,5,2000,Ex,normal
10400,80.0,1Fam,6.0,5,1972,Gd,normal
10000,87.0,1Fam,6.0,6,1962,TA,normal
12342,,1Fam,5.0,5,1960,TA,cheap
9600,80.0,1Fam,6.0,6,1955,Ex,normal
11606,70.0,1Fam,5.0,5,1969,TA,cheap
9020,82.0,1Fam,6.0,5,1964,TA,normal
9000,50.0,1Fam,5.0,6,1880,TA,cheap
4590,34.0,Twnhs,,5,2006,Ex,normal
11900,85.0,1Fam,7.0,5,1977,TA,cheap
9250,80.0,1Fam,,7,1954,TA,cheap
6979,64.0,Duplex,6.0,5,1980,Gd,normal
10896,60.0,2fmCon,6.0,7,1914,Ex,normal
6120,51.0,1Fam,2.0,3,1936,Fa,cheap
6000,50.0,2fmCon,5.0,4,1954,TA,cheap
8777,67.0,1Fam,5.0,7,1910,Gd,cheap
3982,53.0,TwnhsE,8.0,5,2006,Ex,expensive
12677,62.0,TwnhsE,8.0,5,2003,Ex,expensive
7050,,1Fam,7.0,5,2001,Ex,expensive
13860,75.0,1Fam,,7,1972,Gd,expensive
10793,80.0,1Fam,5.0,5,1969,Ex,normal
9187,85.0,1Fam,9.0,5,2009,Ex,expensive
10530,,1Fam,6.0,5,1971,TA,normal
7200,60.0,1Fam,5.0,5,1950,Gd,cheap
10452,85.0,1Fam,6.0,5,1953,Ex,normal
7700,70.0,1Fam,6.0,5,1966,TA,normal
1936,21.0,Twnhs,4.0,6,1970,Gd,cheap
8125,65.0,1Fam,7.0,6,2007,Ex,normal
9084,60.0,1Fam,4.0,5,1940,TA,cheap
8750,70.0,1Fam,7.0,5,1996,Ex,normal
10320,60.0,1Fam,,7,1906,Ex,cheap
10437,91.0,1Fam,8.0,6,1995,Ex,expensive
1680,21.0,Twnhs,6.0,5,1971,TA,cheap
10007,72.0,1Fam,5.0,7,1959,Ex,normal
7200,60.0,1Fam,7.0,6,1931,TA,normal
17503,78.0,1Fam,6.0,5,1948,TA,cheap
9937,75.0,,5.0,7,1964,Ex,normal
12384,,1Fam,7.0,7,1976,TA,normal
46589,52.0,1Fam,8.0,7,1994,Ex,expensive
13560,120.0,1Fam,6.0,3,1968,Gd,cheap
10012,90.0,1Fam,4.0,5,1972,TA,cheap
20896,49.0,1Fam,8.0,5,2005,Ex,expensive
11194,106.0,1Fam,8.0,5,2000,Ex,expensive
18450,,1Fam,6.0,5,1965,TA,cheap
8125,65.0,1Fam,6.0,5,1994,Ex,normal
14175,,1Fam,5.0,6,1956,Gd,normal
11600,80.0,1Fam,4.0,5,1922,Ex,cheap
8633,64.0,1Fam,6.0,5,2005,Ex,normal
6629,54.0,1Fam,6.0,6,1925,TA,cheap
11250,,1Fam,6.0,6,1977,TA,normal
14442,110.0,1Fam,6.0,7,1957,Ex,expensive
9200,80.0,1Fam,6.0,6,1965,TA,normal
2289,24.0,Twnhs,,6,1978,TA,normal
9600,60.0,1Fam,4.0,2,1900,Fa,cheap
9022,52.0,1Fam,5.0,8,1924,Ex,cheap
11844,80.0,1Fam,8.0,5,2008,Ex,expensive
9945,,1Fam,5.0,5,1961,TA,cheap
8012,50.0,TwnhsE,6.0,5,-402,TA,normal
4500,55.0,1Fam,5.0,5,1932,Ex,normal
2887,,1Fam,6.0,5,1996,Ex,normal
11248,90.0,1Fam,9.0,5,2002,Ex,expensive
16770,58.0,1Fam,7.0,5,1998,Gd,expensive
5062,,TwnhsE,7.0,5,1984,Gd,normal
10207,84.0,1Fam,7.0,6,2007,Ex,expensive
5105,,,7.0,5,2004,Ex,normal
8089,60.0,1Fam,8.0,6,2007,Ex,expensive
7577,61.0,TwnhsE,6.0,5,2005,Ex,normal
4426,,TwnhsE,6.0,5,2004,Ex,normal
21535,104.0,1Fam,10.0,6,1994,Ex,expensive
26178,42.0,1Fam,7.0,5,1989,Ex,expensive
5400,60.0,1Fam,5.0,6,1921,Ex,cheap
6120,51.0,1Fam,5.0,6,1936,TA,normal
13811,54.0,,,6,1987,Gd,normal
6000,50.0,,5.0,7,1921,Gd,cheap
6420,57.0,1Fam,5.0,7,1952,Fa,cheap
8450,65.0,1Fam,,8,1965,Ex,cheap
4282,59.0,TwnhsE,7.0,5,2004,Ex,normal
14331,85.0,1Fam,8.0,5,2002,Ex,expensive
9600,80.0,1Fam,7.0,5,1969,TA,normal
12438,82.0,1Fam,8.0,5,2006,Ex,expensive
7630,76.0,2fmCon,5.0,9,1900,Gd,normal
8400,70.0,1Fam,7.0,5,2004,Ex,expensive
5600,70.0,2fmCon,4.0,5,1930,Fa,cheap
115149,,1Fam,7.0,5,1971,TA,expensive
6240,48.0,TwnhsE,8.0,5,2006,Ex,expensive
9018,65.0,1Fam,7.0,5,2007,Ex,normal
7162,,1Fam,5.0,7,1966,TA,cheap
4130,56.0,,3.0,6,1935,Gd,cheap
8712,66.0,1Fam,4.0,7,1900,Gd,cheap
4671,40.0,TwnhsE,8.0,5,1988,Gd,normal
9873,60.0,2fmCon,4.0,5,1970,TA,cheap
13517,,1Fam,6.0,8,1976,Ex,cheap
10140,78.0,1Fam,,5,1974,TA,normal
10800,60.0,1Fam,7.0,8,1890,Ex,normal
10000,80.0,1Fam,,6,1973,Gd,normal
10542,96.0,1Fam,7.0,5,1993,Ex,expensive
9920,69.0,1Fam,5.0,6,1969,TA,cheap
6563,,1Fam,8.0,5,1985,TA,expensive
4426,,TwnhsE,6.0,5,2004,Ex,normal
8120,70.0,1Fam,4.0,7,1970,Ex,cheap
8172,60.0,1Fam,4.0,6,-378,Ex,cheap
13286,86.0,1Fam,9.0,5,2007,Ex,expensive
6960,60.0,1Fam,4.0,6,1970,TA,cheap
21695,,1Fam,,9,1988,Ex,expensive
7314,64.0,1Fam,7.0,5,2007,Ex,normal
11475,85.0,Duplex,5.0,5,1958,TA,cheap
6240,52.0,1Fam,,5,1925,TA,cheap
5389,39.0,TwnhsE,8.0,5,1995,Ex,expensive
9590,73.0,1Fam,7.0,5,2003,Ex,normal
11404,75.0,1Fam,7.0,5,1998,Ex,expensive
10000,80.0,1Fam,5.0,6,1961,Ex,cheap
8978,,1Fam,5.0,5,1968,TA,cheap
10800,60.0,1Fam,7.0,7,1914,Fa,normal
8544,60.0,Duplex,3.0,4,1950,Gd,cheap
10463,72.0,1Fam,8.0,5,2005,Ex,expensive
10800,60.0,Duplex,5.0,5,1987,TA,normal
9313,65.0,1Fam,7.0,5,2004,Ex,normal
9600,60.0,1Fam,5.0,7,1910,Ex,cheap
6768,65.0,1Fam,6.0,8,1961,Gd,normal
8450,65.0,1Fam,7.0,5,2000,Ex,normal
12886,70.0,1Fam,5.0,6,1963,Ex,normal
5395,41.0,TwnhsE,8.0,5,1993,Gd,normal
8963,,1Fam,8.0,9,1976,Ex,expensive
8795,,1Fam,7.0,5,2000,Ex,expensive
11700,65.0,,7.0,7,1880,TA,expensive
10593,59.0,,7.0,5,1996,Ex,expensive
8405,50.0,1Fam,4.0,3,1945,TA,cheap
8800,55.0,1Fam,4.0,7,1910,Gd,cheap
7750,,1Fam,7.0,5,2003,Ex,normal
9236,79.0,1Fam,6.0,5,1997,Ex,expensive
10240,80.0,1Fam,8.0,5,2005,Gd,expensive
7930,61.0,1Fam,6.0,8,1969,Gd,normal
3230,34.0,TwnhsE,6.0,5,1999,Gd,normal
10769,68.0,1Fam,8.0,5,2007,Ex,expensive
11616,,,6.0,5,1978,TA,normal
2280,24.0,,7.0,5,1999,Gd,normal
12257,65.0,1Fam,8.0,5,1995,Ex,expensive
9100,70.0,1Fam,6.0,6,1959,Ex,cheap
6911,60.0,1Fam,5.0,5,1924,TA,cheap
8640,72.0,1Fam,7.0,5,2009,Ex,expensive
9430,82.0,1Fam,8.0,5,1999,Ex,expensive
9549,30.0,TwnhsE,8.0,5,1995,Ex,expensive
14587,75.0,1Fam,9.0,5,2008,Ex,expensive
10421,80.0,1Fam,7.0,5,1988,TA,normal
12508,75.0,1Fam,6.0,7,1940,Ex,normal
9100,70.0,1Fam,7.0,5,2004,Ex,expensive
53504,47.0,1Fam,8.0,5,2003,Ex,expensive
7252,,1Fam,5.0,5,1982,TA,cheap
8877,67.0,1Fam,4.0,5,1951,TA,cheap
7819,94.0,1Fam,6.0,5,1976,TA,cheap
10150,70.0,1Fam,5.0,5,1958,Ex,cheap
14226,110.0,1Fam,8.0,5,2006,Gd,expensive
4500,32.0,,6.0,5,1998,Ex,normal
11210,86.0,1Fam,7.0,5,2005,Ex,expensive
13350,100.0,1Fam,5.0,5,1974,TA,normal
8400,60.0,Duplex,5.0,5,1977,TA,normal
10530,78.0,,6.0,5,1977,TA,cheap
7875,63.0,1Fam,7.0,5,1995,Gd,normal
7153,65.0,1Fam,6.0,5,1992,Ex,normal
16285,67.0,1Fam,7.0,5,2001,Ex,normal
9101,,1Fam,5.0,6,1978,Ex,normal
6300,35.0,1Fam,6.0,6,1914,Ex,cheap
9790,,1Fam,6.0,5,1967,TA,normal
10800,60.0,1Fam,5.0,6,1915,TA,cheap
10142,76.0,1Fam,7.0,5,2004,Ex,expensive
6000,50.0,1Fam,4.0,7,1954,Ex,cheap
12205,,,6.0,8,1966,Gd,normal
3182,43.0,TwnhsE,7.0,5,2005,Ex,normal
11333,,1Fam,6.0,5,1976,TA,normal
9920,92.0,1Fam,7.0,5,1996,Ex,expensive
9158,76.0,1Fam,8.0,5,2007,Ex,expensive
10832,,1Fam,7.0,5,1994,Ex,normal
8400,70.0,1Fam,6.0,6,1980,TA,normal
8197,71.0,1Fam,6.0,5,1977,Ex,normal
7677,57.0,1Fam,5.0,5,1953,Gd,cheap
13518,104.0,1Fam,9.0,5,2008,Ex,expensive
7200,60.0,1Fam,,7,1937,Ex,normal
12798,79.0,1Fam,6.0,5,1997,Gd,normal
4800,40.0,1Fam,4.0,7,1916,Ex,cheap
8199,63.0,1Fam,7.0,5,2005,Ex,normal
13891,107.0,1Fam,9.0,5,2008,Ex,expensive
9000,75.0,1Fam,5.0,5,1954,TA,cheap
12274,91.0,1Fam,7.0,5,2008,Ex,expensive
9750,75.0,1Fam,5.0,5,1967,Gd,cheap
21384,144.0,1Fam,5.0,6,1923,Ex,expensive
13400,85.0,1Fam,5.0,5,1966,TA,normal
8100,90.0,1Fam,5.0,5,1898,TA,cheap
10140,78.0,1Fam,6.0,6,1974,Fa,normal
4438,,TwnhsE,6.0,5,2004,Ex,normal
8712,66.0,1Fam,5.0,5,2301,TA,cheap
9750,75.0,1Fam,6.0,6,1958,Gd,normal
8248,45.0,,5.0,7,1918,Gd,cheap
12137,48.0,1Fam,7.0,5,1998,Ex,expensive
11425,,1Fam,5.0,6,1954,Gd,cheap
13265,,1Fam,8.0,5,2002,Ex,expensive
8816,80.0,1Fam,6.0,7,1971,Gd,normal
6371,44.0,TwnhsE,7.0,5,2009,Ex,expensive
7226,72.0,1Fam,7.0,5,2003,Ex,normal
6000,60.0,2fmCon,4.0,4,1953,TA,cheap
12394,,1Fam,7.0,5,2003,Ex,expensive
9900,60.0,1Fam,6.0,7,1940,TA,cheap
11216,81.0,1Fam,8.0,5,2006,Ex,expensive
14803,114.0,1Fam,10.0,5,2007,Ex,expensive
6130,50.0,1Fam,5.0,6,1924,Gd,cheap
8529,65.0,1Fam,7.0,5,2001,Ex,normal
28698,,1Fam,5.0,5,1967,TA,normal
2544,24.0,Twnhs,7.0,5,2005,Ex,normal
11900,80.0,1Fam,6.0,5,1957,TA,normal
3180,30.0,TwnhsE,7.0,5,2005,Ex,normal
9548,44.0,1Fam,7.0,6,2003,Ex,expensive
10004,100.0,,6.0,6,1964,TA,normal
7875,75.0,1Fam,5.0,6,1961,Gd,cheap
9600,60.0,1Fam,,7,1950,TA,cheap
8100,90.0,1Fam,5.0,6,1948,Gd,normal
1680,21.0,Twnhs,6.0,5,-304,TA,cheap
9525,75.0,1Fam,5.0,6,1995,Ex,normal
11767,70.0,1Fam,5.0,6,1946,Ex,cheap
12155,,1Fam,6.0,8,1925,TA,normal
10440,60.0,1Fam,5.0,8,1904,Gd,normal
9020,82.0,1Fam,6.0,7,1966,TA,normal
8000,80.0,Duplex,5.0,4,1961,Ex,normal
12665,100.0,1Fam,5.0,8,1915,Gd,normal
16647,,1Fam,5.0,5,1975,TA,normal
9317,75.0,1Fam,7.0,5,1993,Ex,expensive
15523,36.0,1Fam,5.0,6,1972,Ex,cheap
45600,75.0,1Fam,6.0,8,-342,TA,expensive
9600,80.0,1Fam,6.0,7,1976,Ex,normal
4435,36.0,TwnhsE,6.0,5,2003,Ex,cheap
3196,,TwnhsE,8.0,5,2003,Ex,expensive
7128,53.0,1Fam,7.0,5,1941,Gd,normal
12095,,1Fam,,6,1964,TA,normal
17920,102.0,1Fam,5.0,4,1955,TA,normal
6897,,1Fam,5.0,8,1962,Ex,cheap
10970,,1Fam,6.0,6,1978,TA,normal
8125,65.0,1Fam,6.0,5,1994,Gd,normal
10400,80.0,1Fam,7.0,5,1976,TA,normal
11029,,1Fam,6.0,7,1968,TA,expensive
7642,55.0,1Fam,7.0,8,1918,Gd,normal
11625,75.0,2fmCon,5.0,4,1965,Ex,cheap
9672,81.0,1Fam,6.0,5,1984,TA,normal
7931,70.0,1Fam,5.0,5,1959,TA,cheap
8640,72.0,1Fam,7.0,5,2007,Ex,expensive
8750,,1Fam,5.0,6,1970,TA,normal
10656,67.0,1Fam,8.0,5,2006,Ex,expensive
6970,85.0,1Fam,4.0,5,1961,TA,cheap
14762,,1Fam,,6,1948,Gd,normal
9938,80.0,1Fam,7.0,5,1993,Ex,expensive
6600,60.0,1Fam,5.0,5,1962,Gd,cheap
8750,70.0,1Fam,6.0,5,1998,Ex,normal
8892,74.0,1Fam,5.0,7,1953,Gd,cheap
12144,60.0,1Fam,5.0,7,1949,Gd,cheap
5720,52.0,1Fam,5.0,6,1941,Ex,cheap
9000,75.0,1Fam,8.0,5,2007,Ex,expensive
25286,94.0,1Fam,4.0,5,1963,Gd,cheap
8834,74.0,1Fam,9.0,5,2004,Ex,expensive
11782,88.0,1Fam,5.0,7,1961,TA,normal
7000,,1Fam,5.0,8,1978,Ex,cheap
7024,60.0,1Fam,5.0,5,2005,Gd,normal
13758,44.0,1Fam,7.0,5,1990,Ex,normal
9636,,1Fam,6.0,5,1992,Gd,normal
6204,60.0,1Fam,4.0,5,1912,TA,cheap
7150,65.0,,5.0,5,1967,TA,cheap
5119,50.0,TwnhsE,9.0,5,1999,Ex,expensive
8393,70.0,Duplex,5.0,5,1959,Ex,normal
16466,59.0,1Fam,5.0,7,1955,TA,cheap
15865,95.0,1Fam,8.0,6,1970,Ex,expensive
12160,128.0,1Fam,6.0,4,1953,Ex,normal
8064,60.0,1Fam,5.0,7,1949,Ex,cheap
11184,70.0,1Fam,6.0,5,1978,Gd,normal
8414,70.0,1Fam,6.0,8,1963,TA,normal
13284,,1Fam,5.0,5,1954,TA,normal
7018,64.0,Duplex,5.0,5,1979,TA,cheap
7056,71.0,1Fam,6.0,5,1963,TA,normal
8765,50.0,,4.0,6,1936,Ex,cheap
7018,64.0,Duplex,5.0,5,-439,TA,normal
12919,100.0,1Fam,9.0,5,2009,Ex,expensive
6993,65.0,1Fam,5.0,7,1961,TA,cheap
7340,,1Fam,4.0,6,1971,TA,cheap
8712,64.0,1Fam,5.0,7,1957,TA,normal
7875,63.0,1Fam,7.0,5,2003,Ex,normal
14859,50.0,1Fam,,5,2006,Ex,expensive
6173,,1Fam,5.0,6,1967,TA,cheap
9920,80.0,1Fam,5.0,5,1954,TA,cheap
13501,116.0,1Fam,8.0,5,2006,Ex,expensive
11500,86.0,1Fam,7.0,7,1936,Gd,expensive
8885,,1Fam,5.0,5,1983,TA,cheap
12589,149.0,1Fam,6.0,5,2005,Ex,normal
11600,80.0,Duplex,5.0,5,1960,TA,normal
9286,,1Fam,5.0,7,1977,TA,normal
6120,51.0,1Fam,5.0,7,1925,TA,cheap
6270,82.0,Duplex,5.0,6,1949,TA,normal
3000,30.0,TwnhsE,6.0,5,2009,Ex,normal
2001,21.0,Twnhs,4.0,5,1970,Fa,cheap
9000,50.0,1Fam,2.0,3,1949,TA,cheap
17140,,1Fam,4.0,6,1956,Ex,cheap
13125,103.0,1Fam,7.0,5,1991,Ex,expensive
11029,87.0,1Fam,6.0,8,1958,Ex,normal
8462,70.0,1Fam,6.0,5,1994,Ex,normal
8777,67.0,Duplex,5.0,7,1900,Gd,normal
10237,65.0,,6.0,5,2005,Ex,normal
8012,50.0,TwnhsE,6.0,5,1993,Ex,normal
10240,79.0,1Fam,6.0,6,1980,TA,normal
15611,,1Fam,5.0,6,1977,TA,normal
11999,93.0,1Fam,8.0,5,2003,Ex,expensive
9900,,1Fam,7.0,5,1968,Gd,normal
11838,,1Fam,8.0,5,2001,Ex,expensive
13006,,1Fam,7.0,5,1997,Gd,expensive
8925,73.0,1Fam,8.0,5,2007,Ex,normal
9100,70.0,1Fam,5.0,6,1965,Ex,cheap
11670,84.0,1Fam,9.0,5,2006,Ex,expensive
8487,63.0,1Fam,7.0,5,2004,Ex,normal
27650,313.0,1Fam,7.0,7,1960,Ex,expensive
5825,52.0,1Fam,,5,1926,Gd,cheap
10083,67.0,1Fam,7.0,5,2003,Ex,normal
9675,75.0,1Fam,7.0,5,2005,Ex,expensive
8760,73.0,1Fam,7.0,5,2006,Ex,expensive
24090,,1Fam,7.0,7,2297,Ex,expensive
12640,55.0,Duplex,6.0,5,1976,TA,normal
8755,,1Fam,7.0,5,1999,Ex,expensive
7711,42.0,Duplex,4.0,3,1977,TA,normal
25000,100.0,Duplex,5.0,4,1967,TA,normal
14375,,1Fam,6.0,6,1958,Gd,cheap
8820,98.0,1Fam,5.0,6,1890,TA,cheap
8163,70.0,1Fam,,6,1959,TA,normal
14536,85.0,1Fam,8.0,5,2002,Ex,expensive
14006,65.0,1Fam,7.0,5,2002,Ex,normal
9360,78.0,,6.0,7,1972,TA,normal
7200,60.0,1Fam,5.0,8,1950,Gd,cheap
7800,60.0,,5.0,5,1965,Gd,cheap
7200,60.0,1Fam,5.0,8,1972,Gd,cheap
11075,,1Fam,5.0,4,1969,Ex,normal
9400,35.0,Duplex,6.0,5,1975,TA,cheap
7136,82.0,Duplex,6.0,6,1946,TA,normal
1300,24.0,TwnhsE,6.0,6,1980,TA,cheap
7420,70.0,1Fam,5.0,5,1962,TA,cheap
8450,65.0,1Fam,7.0,5,2003,Ex,normal
2572,24.0,Twnhs,7.0,5,1999,Ex,normal
7207,50.0,1Fam,5.0,7,1958,Gd,cheap
12227,,1Fam,6.0,7,1977,TA,expensive
2308,24.0,TwnhsE,6.0,6,1976,TA,normal
11923,122.0,,9.0,5,2007,Ex,expensive
11316,80.0,1Fam,7.0,5,2002,Ex,expensive
10237,65.0,1Fam,6.0,5,2005,Ex,normal
9600,130.0,1Fam,5.0,7,1940,Ex,normal
7390,,1Fam,5.0,7,1955,TA,cheap
5925,50.0,1Fam,3.0,6,1910,Fa,cheap
10382,75.0,2fmCon,6.0,5,1958,TA,normal
10800,60.0,1Fam,4.0,4,1949,TA,cheap
2268,36.0,Twnhs,7.0,5,2003,Ex,normal
7892,55.0,TwnhsE,6.0,5,1979,TA,cheap
11639,95.0,1Fam,7.0,5,2007,Ex,normal
11414,60.0,1Fam,,8,1910,TA,normal
2651,,Twnhs,7.0,5,2000,Ex,normal
5900,51.0,1Fam,4.0,7,1923,TA,cheap
4274,35.0,TwnhsE,7.0,5,2006,Ex,normal
9450,68.0,1Fam,4.0,5,1954,Ex,cheap
8816,80.0,1Fam,5.0,6,1963,TA,cheap
12122,,1Fam,7.0,9,1961,Gd,normal
12203,98.0,1Fam,8.0,5,1998,Ex,expensive
3182,43.0,1Fam,7.0,5,2007,Ex,normal
11250,,1Fam,8.0,5,2002,Ex,expensive
10125,75.0,Duplex,5.0,5,1977,TA,cheap
10880,68.0,2fmCon,5.0,5,1950,TA,cheap
5310,59.0,1Fam,6.0,8,1910,Gd,cheap
10159,83.0,1Fam,9.0,5,2009,Ex,expensive
12046,,1Fam,6.0,6,1976,TA,normal
8125,65.0,1Fam,,5,2006,Ex,normal
9452,82.0,1Fam,8.0,5,1997,Ex,expensive
17671,121.0,1Fam,8.0,9,1882,Gd,normal
9760,80.0,1Fam,6.0,8,1964,Gd,normal
8846,68.0,1Fam,6.0,5,2005,Ex,normal
12456,96.0,1Fam,10.0,5,2006,Ex,expensive
4712,51.0,1Fam,4.0,7,1946,TA,cheap
10659,,1Fam,5.0,6,1961,TA,cheap
11717,,1Fam,6.0,6,1970,TA,normal
9786,60.0,1Fam,3.0,4,1922,Fa,cheap
6762,64.0,1Fam,7.0,5,2006,Ex,normal
10206,74.0,1Fam,3.0,3,1952,Fa,cheap
5400,60.0,,5.0,6,1920,Ex,cheap
11957,75.0,1Fam,8.0,5,2006,Ex,expensive
11500,,,5.0,6,1976,Fa,cheap
3182,43.0,,7.0,5,2005,Ex,normal
8385,65.0,1Fam,5.0,8,1977,TA,normal
12155,,1Fam,6.0,3,1970,Gd,normal
2217,21.0,TwnhsE,4.0,4,1970,TA,cheap
12118,43.0,1Fam,7.0,5,2004,Ex,expensive
